Género;¿Te identificás como LGBT+ (lesbiana, gay, bisexual, transexual, otra minoría sexual)?;Rango Edad;Discapacidad;Máximo nivel de formación;Carrera;¿En qué tipo de universidad estudiaste tu carrera de grado?;País;Provincia donde trabajas;Trabajo;Rubro de la empresa;Cantidad de Empleados;Origen del capital;¿Cuántas personas integran el área de RRHH?;¿En qué puesto trabajás?;Tipo de contratación;¿Cuál es tu función principal en RRHH?;¿Cuántas personas tenés a cargo? (poné 0 si no tenés gente a cargo?;¿Hace cuántos años trabajas en la empresa donde estás? (0 para menos de un año);¿Cuántos años de experiencia tenés en RRHH?;¿Cuál es tu remuneración BRUTA MENSUAL en tu moneda local? (antes de impuestos y deducciones);¿Qué beneficios tenés?;¿Recibís bonos?;¿Tuviste ajustes por inflación en 2020?;¿Cuál fue el porcentaje de aumento acumulado que tuviste en 2020?;Mes del último ajuste;¿Trabajás en proyectos independientes además de tu empleo?;¿Qué sistema de gestión de RRHH usan en tu empresa?;¿Cómo se llama el área en tu empresa?;¿Se podía tomar mate en las oficinas de tu empresa? (antes del COVID-19);¿Te exigieron saber un idioma extranjero (inglés, portugués, etc.) para entrar a trabajar en tu empresa?;¿Qué porcentaje del tiempo usas el idioma extranjero en tu puesto actual?;¿Cuántos contactos tenés en LinkedIn? (poné 0 si no tenés cuenta de LinkedIn);¿Qué tan satisfecho estás con tu empresa?;¿Estás buscando trabajo?;¿Qué beneficios te gustaría tener?;Definí a RRHH con una sola palabra;¿Cuál es la pregunta más bizarra que te han hecho/has hecho en una entrevista?;¿Estás trabajando desde tu casa?;¿Qué elementos te proveyó la empresa para que puedas trabajar desde tu casa?;¿Cómo valorarías la gestión de tu empresa en este nuevo contexto?;¿Cómo estás registrado/a fiscalmente?;¿Hace cuántos años trabajás como freelance?;¿Dónde trabajás habitualmente? (sin considerar la coyuntura por COVID-19);¿Exportás tus servicios?;Si exportás servicios, ¿a través de qué medios de pago recibís los pagos del exterior?;¿Aceptás pagos en cuotas?;¿Trabajás con otros freelancers de tu mismo rubro?;¿Tu servicio principal está relacionado con búsqueda y selección?;¿Te dedicás principalmente a realizar búsquedas de IT/Tecnología?;¿Trabajás a riesgo?;¿Cuál es el coeficiente que cobrás por tus servicios?;El coeficiente lo calculás sobre:;¿Ofrecés garantía?;¿Cuál es el servicio principal que brindas? (si brindás más de un servicio, elegí el que más ingresos genere);¿Cuál es el valor hora promedio que ofrecés? (moneda local)
Masculino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario abandonado;Psicología;Universidad Privada;Argentina;Corrientes;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;2;Casa;No;Western Union;Si, frecuentemente;No;Si;No;Si;1.5;Remuneración mensual del ingresante;3 meses;;
Femenino;No;Entre 41 y 45;No tengo ninguna discapacidad;Maestría en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Chaco;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;3;Casa;No;no exporto;No;Si;No;;;;;;Diversidad e inclusión;1200
Masculino;No;Entre 46 y 50;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios financieros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Corrientes;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Responsable inscripto;1;Casa;Si;Transferencia a tu cuenta;No;No;No;;;;;;Comunicación interna;0
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Comercio;Entre 1.001 y 2.500;Nacional;10;Analista;Full time;Administración de personal;0;0;7;55700;Tarjeta de descuento;Menos de un sueldo;1 solo;20;Marzo;No;Enlatado propio;Recursos Humanos;Si, está permitido;No;0%;500;3;No,  pero escucho ofertas;Vacaciones extendidas, almuerzo,medicina prepaga;Servicio;Si pensaba tener hijos en los próximos meses;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;3;;;;;;;;;;;;;;;
Masculino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Misiones;Relación de Dependencia;Función pública;Entre 2.501 y 5.000;Nacional;60;Juzgado Civil y Comercial;Plazo Fijo;Generalista;0;3;5;45000;No tengo beneficios adicionales, Licencias extendidas, Home office;No recibo bono;2 ajustes;20;Septiembre;Si, en emprendimiento relacionado con RRHH;Enlatado propio;Oficina de Personal;Si, está permitido;No;0%;80;3;No estoy buscando cambiar;;FUTURO;;;;;;;;;;;;;;;;;;;
Masculino;Si;Entre 31 y 35;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Chaco;Relación de Dependencia;Otros;Entre 5.001 y 10.000;Multinacional;55;HRBP;Full time;Relaciones laborales;8;9;8;55000;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular, Seguro de vida (adicionales a los de ley), Préstamos, Reintegros en capacitación, Home office, Tarjeta recargable de beneficios;No recibo bono;2 ajustes;50;Septiembre;No;SAP / SuccessFactors;Recursos Humanos;Si, está permitido;No;0%;100;5;No,  pero escucho ofertas;Bono semestral ;Indispensable ;No recuerdo ninguna ;Si;Computadora / Laptop, Silla ergonómica, Abono de celular, Abono de internet;5;;;;;;;;;;;;;;;
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 251 y 500;Nacional;7;Analista;Full time;Reclutamiento y selección;0;1;2;47000;Medicina prepaga / Plan de salud, Seguro de vida (adicionales a los de ley), Idiomas;No recibo bono;1 solo;25;Septiembre;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;20%;3000;3;No,  pero escucho ofertas;mas home, bonificaciones, comedor;Empatia;cual es tu signo?;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;3;;;;;;;;;;;;;;;
Femenino;Si;Entre 31 y 35;No tengo ninguna discapacidad;Universitario abandonado;Contador Público/Lic. En Letras;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Hotelería, restauración, turismo;Entre 501 y 1.000;Nacional;4;Gerente;Full time;Generalista;3;10;10;86747;Horarios flexibles, Frutas y snacks, Abono de celular, Reintegros en capacitación, Home office, Comedor / Almuerzos, Estadías en hoteles de la Cadena para vacacionar;No recibo bono;1 solo;50;Enero;Si, en emprendimiento relacionado con RRHH;Tango;Recursos Humanos;Si, está permitido;No;0%;1474;5;No estoy buscando cambiar;Idiomas;Valor;;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;3;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Alimentación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
